packet_drop_len,mu,theta,rho,lambda,gamma,loss_expiry,buffer_overload_losses,intial15_states,all_empty_states
20,50,0.02,0.1,5.0,1.0,0.01968018387943875,2.6412111451045035e-07,"[6.73794741e-03 3.30267168e-02 6.63020398e-04 8.09114075e-02
 1.65538475e-03 1.59323313e-03 6.43178687e-05 1.32097270e-01
 2.75507623e-03 2.64813029e-03 1.10844311e-04 2.55238296e-03
 1.03005609e-04 1.01035250e-04 6.16119836e-06]","[6.73794741e-03 3.30267168e-02 8.09114075e-02 1.32097270e-01
 1.61683006e-01 1.58250107e-01 1.29019456e-01 9.01209632e-02
 5.50558971e-02 2.98828167e-02 1.45903753e-02 6.47285202e-03
 2.63090529e-03 9.86536381e-04 3.43311238e-04 1.11440312e-04
 3.38923078e-05 9.69516881e-06 2.61763363e-06 6.69224825e-07
 1.62713238e-07]"
20,50,0.02,0.15,7.5,1.0,0.01971590596791665,7.209561360425494e-05,"[5.53105737e-04 4.06649970e-03 8.17933447e-05 1.49430217e-02
 3.06352222e-04 2.94768446e-04 1.19565973e-05 3.65926826e-02
 7.64871758e-04 7.34956685e-04 3.09238719e-05 7.08208387e-04
 2.87127313e-05 2.81595468e-05 1.73194655e-06]","[5.53105737e-04 4.06649970e-03 1.49430217e-02 3.65926826e-02
 6.71791932e-02 9.86239850e-02 1.20603476e-01 1.26355547e-01
 1.15780067e-01 9.42562909e-02 6.90257782e-02 4.59296883e-02
 2.79996555e-02 1.57473198e-02 8.21909049e-03 4.00143870e-03
 1.82519462e-03 7.83062233e-04 3.17100196e-04 1.21615917e-04
 4.43871317e-05]"
20,50,0.02,0.2,10.0,1.0,0.01971770773013068,0.0018690499006545607,"[4.54721500e-05 4.45738380e-04 8.98312110e-06 2.18382662e-03
 4.48652898e-05 4.31564517e-05 1.75915396e-06 7.13005314e-03
 1.49368944e-04 1.43481472e-04 6.06949445e-06 1.38224327e-04
 5.63051220e-06 5.52122955e-06 3.42616984e-07]","[4.54721500e-05 4.45738380e-04 2.18382662e-03 7.13005314e-03
 1.74522045e-02 3.41596249e-02 5.56933421e-02 7.77944052e-02
 9.50377032e-02 1.03152042e-01 1.00711990e-01 8.93434104e-02
 7.26135025e-02 5.44456570e-02 3.78850828e-02 2.45892061e-02
 1.49526596e-02 8.55242380e-03 4.61741179e-03 2.36156935e-03
 1.15002577e-03]"
20,50,0.02,0.25,12.5,1.0,0.0195219417357325,0.013520017632324983,"[3.79229044e-06 4.64653315e-05 9.38299164e-07 2.84549939e-04
 5.85838359e-06 5.63357018e-06 2.30799615e-07 1.16124197e-03
 2.43827770e-05 2.34140013e-05 9.95930369e-07 2.25501732e-05
 9.23035958e-07 9.04983558e-07 5.66815071e-08]","[3.79229044e-06 4.64653315e-05 2.84549939e-04 1.16124197e-03
 3.55277741e-03 8.69193570e-03 1.77129207e-02 3.09254713e-02
 4.72217768e-02 6.40618948e-02 7.81763812e-02 8.66814070e-02
 8.80534100e-02 8.25189086e-02 7.17655263e-02 5.82164848e-02
 4.42458689e-02 3.16303847e-02 2.13457422e-02 1.36494945e-02
 8.31405551e-03]"
20,50,0.02,0.3,15.0,1.0,0.018914401482070957,0.04559321604380697,"[3.33579719e-07 4.90445639e-06 9.92394142e-08 3.60398098e-05
 7.43613291e-07 7.14856122e-07 2.94394873e-08 1.76484711e-04
 3.71433850e-06 3.56553711e-06 1.52529366e-07 3.43305470e-06
 1.41225924e-07 1.38441991e-07 8.75544615e-09]","[3.33579719e-07 4.90445639e-06 3.60398098e-05 1.76484711e-04
 6.47904179e-04 1.90202219e-03 4.65096655e-03 9.74363014e-03
 1.78523519e-02 2.90601951e-02 4.25516737e-02 5.66116485e-02
 6.90018856e-02 7.75888262e-02 8.09633907e-02 7.88031067e-02
 7.18615247e-02 6.16408786e-02 4.99185296e-02 3.83141945e-02
 2.80217939e-02]"
20,50,0.02,0.35,17.5,1.0,0.0179074424187657,0.09734447636466706,"[3.26343469e-08 5.59751321e-07 1.13497537e-08 4.79859395e-06
 9.92301390e-08 9.53619551e-08 3.94839033e-09 2.74134693e-05
 5.78328900e-07 5.54961473e-07 2.38810071e-08 5.34189943e-07
 2.20881315e-08 2.16491379e-08 1.38313904e-09]","[3.26343469e-08 5.59751321e-07 4.79859395e-06 2.74134693e-05
 1.17406207e-04 4.02084179e-04 1.14699973e-03 2.80321823e-03
 5.99162546e-03 1.13777832e-02 1.94348959e-02 3.01629686e-02
 4.28872310e-02 5.62549944e-02 6.84766005e-02 7.77476890e-02
 8.27059127e-02 8.27609418e-02 7.81964700e-02 7.00416678e-02
 5.97968785e-02]"
20,50,0.02,0.4,20.0,1.0,0.01669838766627348,0.1588919622394377,"[3.68660487e-09 7.22637535e-08 1.46834444e-09 7.07964272e-07
 1.46732697e-08 1.40965352e-08 5.86909335e-10 4.62201494e-06
 9.77469083e-08 9.37622801e-08 4.05951810e-09 9.02263378e-08
 3.75056389e-09 3.67538579e-09 2.37343046e-10]","[3.68660487e-09 7.22637535e-08 7.07964272e-07 4.62201494e-06
 2.26217538e-05 8.85355582e-05 2.88620396e-04 8.06084845e-04
 1.96890865e-03 4.27260031e-03 8.34001636e-03 1.47912535e-02
 2.40326243e-02 3.60224280e-02 5.01060904e-02 6.50089954e-02
 7.90259008e-02 9.03714802e-02 9.75939212e-02 9.99350232e-02
 9.75556293e-02]"
20,50,0.02,0.45,22.5,1.0,0.015466645907806277,0.2213199187934982,"[4.86961584e-10 1.07379777e-08 2.18658059e-10 1.18343755e-07
 2.45849610e-09 2.36103339e-09 9.88697902e-11 8.69151196e-07
 1.84269778e-08 1.76688507e-08 7.69869945e-10 1.69973212e-08
 7.10429355e-10 6.96062263e-10 4.54610774e-11]","[4.86961584e-10 1.07379777e-08 1.18343755e-07 8.69151196e-07
 4.78539730e-06 2.10685542e-05 7.72621141e-05 2.42739201e-04
 6.66961975e-04 1.62809820e-03 3.57490325e-03 7.13193775e-03
 1.30348249e-02 2.19773571e-02 3.43867076e-02 5.01851145e-02
 6.86255155e-02 8.82862618e-02 1.07272555e-01 1.23616169e-01
 1.35820693e-01]"
20,50,0.02,0.5,25.0,1.0,0.014308280427372042,0.2798901516224396,"[7.48707157e-11 1.83433294e-09 3.74349893e-11 2.24614327e-08
 4.67729581e-10 4.49021284e-10 1.89160780e-11 1.83282813e-07
 3.89579663e-09 3.73396593e-09 1.63780349e-10 3.59090322e-09
 1.50940782e-10 1.47859823e-10 9.77407892e-12]","[7.48707157e-11 1.83433294e-09 2.24614327e-08 1.83282813e-07
 1.12118260e-06 5.48431536e-06 2.23450201e-05 7.79969147e-05
 2.38099516e-04 6.45734974e-04 1.57525352e-03 3.49142228e-03
 7.08933301e-03 1.32794153e-02 2.30833191e-02 3.74277181e-02
 5.68632804e-02 8.12833749e-02 1.09753434e-01 1.40573695e-01
 1.71687981e-01]"
20,50,0.02,0.55,27.500000000000004,1.0,0.013258768343279327,0.3328808498102273,"[1.32360818e-11 3.56696384e-10 7.29587899e-12 4.80428802e-09
 1.00287420e-10 9.62386190e-11 4.07970913e-12 4.31203332e-08
 9.18975217e-10 8.80414801e-10 3.88863383e-11 8.46399439e-10
 3.57878501e-11 3.50502029e-11 2.34706432e-12]","[1.32360818e-11 3.56696384e-10 4.80428802e-09 4.31203332e-08
 2.90136928e-07 1.56103494e-06 6.99570488e-06 2.68587247e-05
 9.01820622e-05 2.69008441e-04 7.21785621e-04 1.75955479e-03
 3.92957659e-03 8.09577602e-03 1.54781759e-02 2.76036360e-02
 4.61292776e-02 7.25362517e-02 1.07754948e-01 1.51865089e-01
 2.04107775e-01]"
20,50,0.02,0.6,30.0,1.0,0.012322994897955715,0.38008488167943655,"[2.65203940e-12 7.79628397e-11 1.59834629e-12 1.14547138e-09
 2.39712761e-11 2.29940284e-11 9.81159127e-13 1.12150496e-08
 2.39664972e-10 2.29501587e-10 1.02110143e-11 2.20557170e-10
 9.38306671e-12 9.18766807e-12 6.23872777e-13]","[2.65203940e-12 7.79628397e-11 1.14547138e-09 1.12150496e-08
 8.23158269e-08 4.83115875e-07 2.36170332e-06 9.89079022e-06
 3.62254565e-05 1.17870188e-04 3.44974546e-04 9.17316709e-04
 2.23459144e-03 5.02166036e-03 1.04724923e-02 2.03727693e-02
 3.71395801e-02 6.37133017e-02 1.03271705e-01 1.58829538e-01
 2.32959871e-01]"
20,50,0.02,0.65,32.5,1.0,0.011493169261452272,0.42191752587966364,"[5.93860950e-13 1.89118412e-11 3.88641153e-13 3.01002081e-10
 6.31536320e-12 6.05524875e-12 2.60164961e-13 3.19244208e-09
 6.84141676e-11 6.54803941e-11 2.93592687e-12 6.29051475e-11
 2.69334455e-12 2.63664348e-12 1.81773928e-13]","[5.93860950e-13 1.89118412e-11 3.01002081e-10 3.19244208e-09
 2.53827673e-08 1.61375528e-07 8.54553266e-07 3.87675792e-06
 1.53805471e-05 5.42098844e-05 1.71860016e-04 4.95014529e-04
 1.30619148e-03 3.17956937e-03 7.18274231e-03 1.51364498e-02
 2.98930145e-02 5.55597146e-02 9.75797086e-02 1.62633269e-01
 2.58504906e-01]"
20,50,0.02,0.7,35.0,1.0,0.010757417586396012,0.45899039275186054,"[1.46746428e-13 5.03245361e-12 1.03670898e-13 8.62534107e-11
 1.81452454e-12 1.73897551e-12 7.52614158e-14 9.85117352e-10
 2.11725100e-11 2.02537994e-11 9.15572207e-13 1.94496550e-11
 8.38363675e-13 8.20509443e-13 5.75149671e-14]","[1.46746428e-13 5.03245361e-12 8.62534107e-11 9.85117352e-10
 8.43449636e-09 5.77444069e-08 3.29275968e-07 1.60855030e-06
 6.87193743e-06 2.60809813e-05 8.90339192e-05 2.76141782e-04
 7.84612036e-04 2.05662049e-03 5.00291175e-03 1.13532374e-02
 2.41465404e-02 4.83362143e-02 9.14422503e-02 1.64178230e-01
 2.81122717e-01]"
20,50,0.02,0.75,37.5,1.0,0.010103470972317488,0.49192961361280063,"[3.95733118e-14 1.45397095e-12 3.00281288e-14 2.66987410e-11
 5.63215073e-13 5.39495042e-13 2.35299888e-14 3.26691794e-10
 7.04253873e-12 6.73310620e-12 3.07029069e-13 6.46311037e-12
 2.80558917e-13 2.74510365e-13 1.95972984e-14]","[3.95733118e-14 1.45397095e-12 2.66987410e-11 3.26691794e-10
 2.99669196e-09 2.19797252e-08 1.34275958e-07 7.02740831e-07
 3.21631502e-06 1.30773293e-05 4.78260058e-05 1.58910818e-04
 4.83716258e-04 1.35834352e-03 3.54004475e-03 8.60704506e-03
 1.96139388e-02 4.20721691e-02 8.52952680e-02 1.64129467e-01
 3.01200928e-01]"
20,50,0.02,0.8,40.0,1.0,0.009520076576484283,0.5213070018541269,"[1.15350209e-14 4.52040688e-13 9.36013992e-15 8.85351462e-12
 1.87300501e-13 1.79315859e-13 7.88544452e-15 1.15548243e-10
 2.49867540e-12 2.38742509e-12 1.09880555e-13 2.29068806e-12
 1.00177924e-13 9.79899555e-14 7.13787555e-15]","[1.15350209e-14 4.52040688e-13 8.85351462e-12 1.15548243e-10
 1.13048350e-09 8.84378138e-09 5.76240934e-08 3.21653031e-07
 1.57012566e-06 6.80887887e-06 2.65582714e-05 9.41170928e-05
 3.05554010e-04 9.15157864e-04 2.54387907e-03 6.59723931e-03
 1.60369115e-02 3.66972805e-02 7.93754940e-02 1.62967783e-01
 3.19092920e-01]"
20,50,0.02,0.85,42.5,1.0,0.00899741474823488,0.5476203107210227,"[3.60433847e-15 1.50068601e-13 3.11578359e-15 3.12270051e-12
 6.62582004e-14 6.33969698e-14 2.81249000e-15 4.32989366e-11
 9.39358095e-13 8.96943704e-13 4.16919886e-14 8.60201354e-13
 3.79144575e-14 3.70749200e-14 2.76117857e-15]","[3.60433847e-15 1.50068601e-13 3.12270051e-12 4.32989366e-11
 4.50063816e-10 3.74059275e-09 2.58937903e-08 1.53555344e-07
 7.96332695e-07 3.66873604e-06 1.52026947e-05 5.72361481e-05
 1.97412726e-04 6.28169143e-04 1.85517083e-03 5.11183057e-03
 1.32034919e-02 3.21062306e-02 7.38014528e-02 1.61038297e-01
 3.35105923e-01]"
20,50,0.02,0.9,45.0,1.0,0.008527107304802795,0.5712935479058331,"[1.19876391e-15 5.28441279e-14 1.10024820e-15 1.16421480e-12
 2.47786702e-14 2.36939384e-14 1.06105548e-15 1.70912071e-11
 3.72039133e-13 3.54990132e-13 1.66757183e-14 3.40281253e-13
 1.51226540e-14 1.47829182e-14 1.12801904e-15]","[1.19876391e-15 5.28441279e-14 1.16421480e-12 1.70912071e-11
 1.88087094e-10 1.65505070e-09 1.21296738e-08 7.61549193e-08
 4.18123515e-07 2.03939806e-06 8.94708570e-06 3.56622816e-05
 1.30225746e-04 4.38723215e-04 1.37184366e-03 4.00243413e-03
 1.09468741e-02 2.81887469e-02 6.86228196e-02 1.58588383e-01
 3.49501382e-01]"
20,50,0.02,0.95,47.5,1.0,0.008102074929806467,0.5926845887832763,"[4.21770363e-16 1.96243111e-14 4.09781163e-16 4.56334240e-13
 9.74351720e-15 9.31077402e-15 4.21158965e-16 7.07085141e-12
 1.54456356e-13 1.47267284e-13 6.99598688e-15 1.41092037e-13
 6.32518593e-15 6.18092487e-15 4.84250359e-16]","[4.21770363e-16 1.96243111e-14 4.56334240e-13 7.07085141e-12
 8.21303469e-11 7.62778241e-10 5.90031584e-09 3.90985335e-08
 2.26569487e-07 1.16635907e-06 5.40065117e-06 2.27201451e-05
 8.75674282e-05 3.11379789e-04 1.02771709e-03 3.16506604e-03
 9.13827225e-03 2.48424631e-02 6.38500270e-02 1.55795522e-01
 3.62499756e-01]"
20,50,0.02,1,50,1.0,0.007716354208036722,0.6120946512804446,"[1.56150405e-16 7.64734982e-15 1.60170426e-16 1.87174194e-13
 4.00978313e-15 3.82896614e-15 1.75063250e-16 3.05265513e-12
 6.69248175e-14 6.37587538e-14 3.06515722e-15 6.10517381e-14
 2.76217300e-15 2.69817992e-15 2.17486157e-16]","[1.56150405e-16 7.64734982e-15 1.87174194e-13 3.05265513e-12
 3.73206751e-11 3.64821730e-10 2.97023817e-09 2.07160849e-08
 1.26350891e-07 6.84602723e-07 3.33644199e-06 1.47735118e-05
 5.99318486e-05 2.24315366e-04 7.79311848e-04 2.52644550e-03
 7.67901509e-03 2.19774776e-02 5.94718849e-02 1.52787235e-01
 3.74286443e-01]"
20,50,0.04,0.1,5.0,2.0,0.038723055727237984,3.068593619656256e-12,"[8.20849979e-02 1.97266041e-01 7.94645487e-03 2.36699173e-01
 9.88337860e-03 9.18571267e-03 7.47355959e-04 1.89060258e-01
 8.18905325e-03 7.57767615e-03 6.58472717e-04 7.07940748e-03
 5.75353103e-04 5.54314815e-04 6.84818196e-05]","[8.20849979e-02 1.97266041e-01 2.36699173e-01 1.89060258e-01
 1.13077916e-01 5.40155051e-02 2.14639270e-02 7.29693686e-03
 2.16631462e-03 5.70483930e-04 1.34912214e-04 2.89372999e-05
 5.67562991e-06 1.02492148e-06 1.71398970e-07 2.66765878e-08
 3.88089939e-09 5.29733173e-10 6.80737334e-11 8.26576197e-12
 9.57041243e-13]"
20,50,0.04,0.15,7.5,2.0,0.03886022683979069,2.9234552529378344e-09,"[2.35177456e-02 8.47644028e-02 3.42714350e-03 1.52537791e-01
 6.39546522e-03 5.93837280e-03 4.87521271e-04 1.82721408e-01
 7.95083082e-03 7.34913177e-03 6.45199778e-04 6.86070735e-03
 5.62258676e-04 5.41437706e-04 6.79638848e-05]","[2.35177456e-02 8.47644028e-02 1.52537791e-01 1.82721408e-01
 1.63893963e-01 1.17404705e-01 6.99587984e-02 3.56633541e-02
 1.58756642e-02 6.26845877e-03 2.22255013e-03 7.14685265e-04
 2.10135074e-04 5.68815370e-05 1.42577573e-05 3.32582377e-06
 7.25086671e-07 1.48311057e-07 2.85615747e-08 5.20109590e-09
 9.05742334e-10]"
20,50,0.04,0.2,10.0,2.0,0.039002196231738485,2.641211089195037e-07,"[6.73794746e-03 3.23757633e-02 1.31397412e-03 7.76690864e-02
 3.27032193e-03 3.03352707e-03 2.51408230e-04 1.24025975e-01
 5.42250321e-03 5.00624760e-03 4.44288965e-04 4.66981900e-03
 3.86059457e-04 3.71571757e-04 4.74419607e-05]","[6.73794746e-03 3.23757633e-02 7.76690864e-02 1.24025975e-01
 1.48294587e-01 1.41602818e-01 1.12469774e-01 7.64194206e-02
 4.53398755e-02 2.38590143e-02 1.12735464e-02 4.83072648e-03
 1.89257660e-03 6.82573585e-04 2.27937579e-04 7.08291514e-05
 2.05690672e-05 5.60394873e-06 1.43772815e-06 3.49121870e-07
 8.12743118e-08]"
20,50,0.04,0.25,12.5,2.0,0.0391492165961526,6.563513898788801e-06,"[1.93045934e-03 1.15930178e-02 4.72353140e-04 3.47581871e-02
 1.46999352e-03 1.36208813e-03 1.14015435e-04 6.93651652e-02
 3.04772478e-03 2.81021858e-03 2.52267920e-04 2.61916907e-03
 2.18514549e-04 2.10198051e-04 2.73341044e-05]","[1.93045934e-03 1.15930178e-02 3.47581871e-02 6.93651652e-02
 1.03647689e-01 1.23678879e-01 1.22752538e-01 1.04219464e-01
 7.72596695e-02 5.07956872e-02 2.99852982e-02 1.60510161e-02
 7.85509936e-03 3.53849717e-03 1.47576498e-03 5.72671944e-04
 2.07668252e-04 7.06509056e-05 2.26413636e-05 6.87513663e-06
 2.00563394e-06]"
20,50,0.04,0.3,15.0,2.0,0.03929964042657077,7.209561264432165e-05,"[5.53105742e-04 3.98525403e-03 1.63039043e-04 1.43356319e-02
 6.09070789e-04 5.63709759e-04 4.76866550e-05 3.43232062e-02
 1.51587356e-03 1.39584026e-03 1.26836712e-04 1.29979022e-03
 1.09484182e-04 1.05254425e-04 1.39622125e-05]","[5.53105742e-04 3.98525403e-03 1.43356319e-02 3.43232062e-02
 6.15286392e-02 8.80778969e-02 1.04866240e-01 1.06798578e-01
 9.49632961e-02 7.48838334e-02 5.30147670e-02 3.40317365e-02
 1.99705084e-02 1.07862935e-02 5.39318608e-03 2.50883024e-03
 1.09056718e-03 4.44788542e-04 1.70955305e-04 6.23331899e-05
 2.18731265e-05]"
20,50,0.04,0.35,17.5,2.0,0.039443386904742396,0.0004509132166990959,"[1.58509941e-04 1.33222897e-03 5.47330200e-05 5.58986786e-03
 2.38633881e-04 2.20585613e-04 1.88713499e-05 1.56106066e-02
 6.93174744e-04 6.37341384e-04 5.86741036e-05 5.92924187e-04
 5.04505185e-05 4.84699287e-05 6.57150811e-06]","[0.00015851 0.00133223 0.00558987 0.01561061 0.03263921 0.05449299
 0.07566569 0.08986566 0.09317974 0.08567623 0.07071988 0.05292535
 0.03620455 0.02279284 0.01328258 0.0072009  0.0036479  0.00173417
 0.00077734 0.00033096 0.0001358 ]"
